business_name,product_name,phone,address,city,area,website,email,rating,reviews,category,source_url,date_collected,has_website
M D Enterprises,FloorCleaner Nilgiri,07942828697,"Pimpri Chinchwad- Chinchwad3, RH 178, Flat No. 19, New Trimurti Society, Near Kamalnayan Bajaj School, Sambhajinagar, Chinchwad, Chinchwad, Pimpri Chinchwad - 411019, Dist. Pune, Maharashtra ( 13 km from pune )",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076731,False
Aarsha Chemicals Private Limited,"Liquid High PowerFloorCleaner, Packaging Size: Can Size",08048601253,"Panvel- Deals in PunePlot No 17/27, Midc Taloja, Industrial Area, Panvel - 410206, Dist. Raigad, Maharashtra ( 93 km from pune )",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076754,False
Althea International,"500 MlFloorCleaner, Cleaner Type: Daily Maintenance",08045166051,"Thane- Deals in PuneGround Floor, Shop No. 35, Boulevard Premium Shopping, Eastern Express Highway, Majiwada, Thane West, Thane - 400601, Maharashtra ( 120 km from pune )",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076778,False
Elixir Home Care Private Limited,"Floorcleaner concentrate Lemon, Lime",08048958215,"Mumbai- Deals in PuneB-001, Mary Gold Building, Malkani Estate, Datta Mandir Raod, Malad East Mumbai, Malad East, Mumbai - 400097, Maharashtra ( 120 km from pune )",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076804,False
Swaroop Enterprises,FloorCleaner,08048261942,"Rajgurunagar KhedGround Floor, Thigalstal, Milkat No. 2271/2, Pune Nashik Road, Tal. Khed, New Star Shimaker, Rajgurunagar Khed - 410505, Dist. Pune, Maharashtra ( 37 km from pune )",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076827,False
Sigma Industries,Rose ConcentratedFloorCleaner (1 L),07942557514,"Sangli- Deals in PuneB-7/28, M.I.D.C Miraj, Near M.S.E.B, Sangli - 416410, Maharashtra ( 200 km from pune )",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076850,False
Eco India Super Soulation & Services,Eco IndiaFloorCleaners,080440164399978,"PuneS.No 61/7/1, Mahanada Colony, Near Shendage home,, Pune - 411048, Maharashtra",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076873,False
Ramdev Enterprise,Buzil-Rossari Ross FcsFloorCleaner andFloorSanitizer,08048959176,"PuneLink Road, Julelal Complex, Pune - 411017, Maharashtra",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076899,False
Parth Enterprises,"FloorCleaner ., For Home",08047653560,"Pune- WarjeSr No-136/1A/1A, Apte Road Near Saptadeep Society, Apte Colony, Warje Malwadi, Warje, Pune - 411058, Maharashtra",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076922,False
Rajman Enterprises,"FloorCleaner, 5 L",080438848715251,"PuneF-701, A6, Genesis Wing A6, Alandi Road, Dighi Police Station, Charholi Budruk, Pimpri Chinchwad, Pune - 412105, Maharashtra",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076948,False
