business_name,product_name,phone,address,city,area,website,email,rating,reviews,category,source_url,date_collected,has_website
Ashcube,"Multicolor Leather Finish Metal Pen, For Office, Material: Stainless Steel",08047645462,"PuneS. No. 226, Nakshatra Bunglow, Trimurti Nagar, Vidhate Vasti, Pune - 411040, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610511,False
Cadeaus Corporation,"Black Corporate Gift Pen, For Promotional, Packaging Type: Box",08047641073,"Pune- Vagholi3rd Floor, D-301, Supreme Angan, Gat No. 1185a, Wagholi, Vagholi, Pune - 412307, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610531,False
Deeher Gifts,"Metal Pen ( Stylus - Brown) (For Engraving /UV Printing), For Office, Material: Brass",08048951829,"Pune1st Floor, S No. 700 To 703 , Plot No. 3, Shah Chambers, Pune Satara Road, Opposite To Laxmi Narayan Theatre, Gultekdi,, Pune - 411037, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610550,False
Venus Traders,"Blue Metal Corporate Pen, For Writing, Packaging Type: Box",08048610278,"Pune31 Off Laxmi Road Budhwar Peth Appa Balawant Chowk, Pune - 411002, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610569,False
Hi Tech Sales & Services,"Blue Black Guest Pen, For Domestic",08046076504,"Pune- DhanoriOpposite Shreenidhi Sales Office, Porwal Road Dhanori- Lohegaon Road, Dhanori, Pune - 411015, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610588,False
Balaji Corporate Gifts Private Limited,Plastic Promotional Ball Pen,08047640078,"Pune- DhayariFlat No B-701, S No 74/6a,6b, Shri Laxmi Vrindavan CHS, Dhayri Road, Dhayri, Raikar Mala Tale Dam, Dhayari, Pune - 411041, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610606,False
Rabbit Stationery Private Limited,Gel Point Pen,08046074605,"PuneRABBIT STATIONERY PVT LTD Gali No. 7 & 8, KUMAR IND ESTATE, Pune - 411037, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610625,False
Arihant Office Solutions Private Limited,Plastic Whitener Pen,07942674366,"Pune- Mohan NagarSr.No. 126, Shivnarayan, Hights,Mohan, Nagar, Mohan Nagar, Pune - 411019, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610643,False
Blue Point Stationery,Uni Ball Correction Pen,08044013994,"Pune- New ModikhanaShiv Samarpan,443, Center Street , Camp, New Modikhana, Pune - 411001, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610662,False
Tara Enterprises,Parker Classic Gold GT Ball Pen,08047520464,"Pune202, Shreeniwas Vihar A, Narhe Road, Manaji Nagar, Tidke Dairy Farm, Pune - 411041, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610681,False
